Datetime,Tweet Id,Text,Username
2022-01-24 03:09:21+00:00,1.49E+18,"In behalf of DIVES I would like to say sorry for the group Epex and Omega X and to their fandoms, the other Dives emotion is not good now and their just letting out their frustration. We hate SMA not the artist. 
#SMA_RespectIVE #IVE_ELEVEN #IVE #OMEGA_X #EPEX 

 #SMArigged",HeraYhra
2022-01-24 03:04:20+00:00,1.49E+18,"Bts ga dapet daesang karna prestasi kurang ❌
Bts ga dapet daesang karna ga dateng ✔️

#SMArigged 
#ExolsApologizeToArmys https://t.co/KMgw2lKt2Y",dtborahae
2022-01-24 03:04:20+00:00,1.49E+18,#SMArigged,Una52915200
2022-01-24 03:04:10+00:00,1.49E+18,#SMArigged fuck you,Una52915200
2022-01-24 03:03:10+00:00,1.49E+18,@gyusideup because #SMArigged,dubadduwari_
2022-01-24 03:01:34+00:00,1.49E+18,#SMArigged https://t.co/42TSUJZtzG,rayanamalik2
2022-01-24 02:59:46+00:00,1.49E+18,@SMA_global #SMArigged,unbelvisoo
2022-01-24 02:58:38+00:00,1.49E+18,#SMArigged https://t.co/Mze5XKrK8Y,SOMNITINY15
2022-01-24 02:57:06+00:00,1.49E+18,#SMARigged,_ingingg
2022-01-24 02:55:00+00:00,1.49E+18,"BENCI BANGET GUE SAMA YANG KATANYA OT23 STAN, TERUS NGOMONG ""AKU PERCAYA KOK REJEKI ADA YANG NGATUR MUNGKIN  INI REJEKI UNTUK 127, TAHUN DEPAN BAKAL GILIRAN NCT DREAM KOK. MASALAHNYA BUKAN ITU KAMPRET! JELAS2 INI SABOTASE SMA, BUKAN AJANG REJEKI2AN. TAII #SMArigged",AgtPSEitUT1hedB
2022-01-24 02:54:18+00:00,1.49E+18,"@oriyenugh Please don't hate the other artists, it's not their fault that IVE didn't win. It's SMA's fault. So just focus the hate on SMA. #SMA_RespectIVE #SMArigged",HeraYhra
2022-01-24 02:52:06+00:00,1.49E+18,#SMArigged https://t.co/eVZspR00sp,mavisangelaweiy
2022-01-24 02:51:02+00:00,1.49E+18,"you going against the fandom for shitting on your boys and belittling their achievements is understandable. i'll give you that, but defending sma/saying the result wasn't rigged as if your life depends on it? WHOSE LEGS ARE YOU TRYING TO PULL HERE? 

#SMA_RespectIVE #SMArigged https://t.co/vd5E7GHwPc",shelteredbitch
2022-01-24 02:42:22+00:00,1.49E+18,Udah liat video bocil smp?  https://t.co/rggKBLFsK9 #SMArigged,iam_monbebe0
2022-01-24 02:42:11+00:00,1.49E+18,there are literally atleast 5 fandoms under the #SMArigged tag but you decided to single out armys? we live in your head rent free geez https://t.co/Y2fNccwd11,vihroids
2022-01-24 02:41:37+00:00,1.49E+18,#SMARigged #SMARigged https://t.co/WW8Vfymu1X,VincentYang1115
